Month,Scenario,Revenue,Expenses,Profit,Margin %
2025-12,Conservative,1500,160,1340,89.3
2025-12,Realistic,3600,600,3000,83.3
2025-12,Optimistic,5750,1300,4450,77.4
2026-01,Conservative,2000,170,1830,91.5
2026-01,Realistic,5282,700,4582,86.7
2026-01,Optimistic,6612,1600,5012,75.8
2026-02,Conservative,2500,180,2320,92.8
2026-02,Realistic,7019,800,6219,88.6
2026-02,Optimistic,7604,1900,5704,75.0
2026-03,Conservative,3000,190,2810,93.7
2026-03,Realistic,8800,900,7900,89.8
2026-03,Optimistic,8745,2200,6545,74.8
2026-04,Conservative,3500,200,3300,94.3
2026-04,Realistic,10618,1000,9618,90.6
2026-04,Optimistic,10056,2500,7556,75.1
2026-05,Conservative,4000,210,3790,94.8
2026-05,Realistic,12469,1100,11369,91.2
2026-05,Optimistic,11565,2800,8765,75.8
2026-06,Conservative,4500,220,4280,95.1
2026-06,Realistic,14352,1200,13152,91.6
2026-06,Optimistic,13300,3100,10200,76.7
2026-07,Conservative,5000,230,4770,95.4
2026-07,Realistic,16262,1300,14962,92.0
2026-07,Optimistic,15295,3400,11895,77.8
2026-08,Conservative,5500,240,5260,95.6
2026-08,Realistic,18200,1400,16800,92.3
2026-08,Optimistic,17589,3700,13889,79.0
2026-09,Conservative,6000,250,5750,95.8
2026-09,Realistic,20162,1500,18662,92.6
2026-09,Optimistic,20227,4000,16227,80.2
2026-10,Conservative,6500,260,6240,96.0
2026-10,Realistic,22148,1600,20548,92.8
2026-10,Optimistic,23261,4300,18961,81.5
2026-11,Conservative,7000,270,6730,96.1
2026-11,Realistic,24156,1700,22456,93.0
2026-11,Optimistic,26751,4600,22151,82.8
2026-12,Conservative,7500,280,7220,96.3
2026-12,Realistic,26187,1800,24387,93.1
2026-12,Optimistic,30763,4900,25863,84.1
2027-01,Conservative,8000,290,7710,96.4
2027-01,Realistic,28238,1900,26338,93.3
2027-01,Optimistic,35378,5200,30178,85.3
2027-02,Conservative,8500,300,8200,96.5
2027-02,Realistic,30309,2000,28309,93.4
2027-02,Optimistic,40685,5500,35185,86.5
2027-03,Conservative,9000,310,8690,96.6
2027-03,Realistic,32400,2100,30300,93.5
2027-03,Optimistic,46788,5800,40988,87.6
2027-04,Conservative,9500,320,9180,96.6
2027-04,Realistic,34509,2200,32309,93.6
2027-04,Optimistic,53806,6100,47706,88.7
2027-05,Conservative,10000,330,9670,96.7
2027-05,Realistic,36636,2300,34336,93.7
2027-05,Optimistic,61877,6400,55477,89.7
2027-06,Conservative,10500,340,10160,96.8
2027-06,Realistic,38781,2400,36381,93.8
2027-06,Optimistic,71158,6700,64458,90.6
2027-07,Conservative,11000,350,10650,96.8
2027-07,Realistic,40944,2500,38444,93.9
2027-07,Optimistic,81832,7000,74832,91.4
2027-08,Conservative,11500,360,11140,96.9
2027-08,Realistic,43123,2600,40523,94.0
2027-08,Optimistic,94107,7300,86807,92.2
2027-09,Conservative,12000,370,11630,96.9
2027-09,Realistic,45318,2700,42618,94.0
2027-09,Optimistic,108223,7600,100623,93.0
2027-10,Conservative,12500,380,12120,97.0
2027-10,Realistic,47530,2800,44730,94.1
2027-10,Optimistic,124457,7900,116557,93.7
2027-11,Conservative,13000,390,12610,97.0
2027-11,Realistic,49757,2900,46857,94.2
2027-11,Optimistic,143125,8200,134925,94.3
